事发街道,事发区县,月份,立案量,年份,均值,方差,数据量,出线,年月,日期,
东华门,东城区,9,491,2016,734.2291667,254.6787079,48,0,24201,16/9,
东华门,东城区,10,404,2016,734.2291667,254.6787079,48,0,24202,16/10,
东华门,东城区,11,368,2016,734.2291667,254.6787079,48,0,24203,16/11,
东华门,东城区,12,108,2016,734.2291667,254.6787079,48,2,24204,16/12,
东华门,东城区,1,935,2017,734.2291667,254.6787079,48,0,24205,17/1,
东华门,东城区,2,978,2017,734.2291667,254.6787079,48,0,24206,17/2,
东华门,东城区,3,1139,2017,734.2291667,254.6787079,48,0,24207,17/3,
东华门,东城区,4,999,2017,734.2291667,254.6787079,48,0,24208,17/4,
东华门,东城区,5,853,2017,734.2291667,254.6787079,48,0,24209,17/5,
东华门,东城区,6,858,2017,734.2291667,254.6787079,48,0,24210,17/6,
东华门,东城区,7,933,2017,734.2291667,254.6787079,48,0,24211,17/7,
东华门,东城区,8,1080,2017,734.2291667,254.6787079,48,0,24212,17/8,
东华门,东城区,9,1010,2017,734.2291667,254.6787079,48,0,24213,17/9,
东华门,东城区,10,832,2017,734.2291667,254.6787079,48,0,24214,17/10,
东华门,东城区,11,807,2017,734.2291667,254.6787079,48,0,24215,17/11,
东华门,东城区,12,897,2017,734.2291667,254.6787079,48,0,24216,17/12,
东华门,东城区,1,1175,2018,734.2291667,254.6787079,48,0,24217,18/1,
东华门,东城区,2,986,2018,734.2291667,254.6787079,48,0,24218,18/2,
东华门,东城区,3,1217,2018,734.2291667,254.6787079,48,0,24219,18/3,
东华门,东城区,4,981,2018,734.2291667,254.6787079,48,0,24220,18/4,
东华门,东城区,5,942,2018,734.2291667,254.6787079,48,0,24221,18/5,
东华门,东城区,6,679,2018,734.2291667,254.6787079,48,0,24222,18/6,
东华门,东城区,7,622,2018,734.2291667,254.6787079,48,0,24223,18/7,
东华门,东城区,8,703,2018,734.2291667,254.6787079,48,0,24224,18/8,
东华门,东城区,9,619,2018,734.2291667,254.6787079,48,0,24225,18/9,
东华门,东城区,10,444,2018,734.2291667,254.6787079,48,0,24226,18/10,
东华门,东城区,11,587,2018,734.2291667,254.6787079,48,0,24227,18/11,
东华门,东城区,12,453,2018,734.2291667,254.6787079,48,0,24228,18/12,
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
 , , , , , , , , , ,, 
